,name,prices,rating,reviews,dicounts,fdelivery
0,Livato T5 WiFi HD Projector with Built-in YouTube Suppo...,"₹6,477",3.9,"1,221",50%,Free delivery
1,PLAY Native Full HD 1920x1080P 4K Latest Launched Proje...,"₹17,999",0,0,89%,Free delivery
2,BOSS S13 3D Mobile WIFI Full HD Multimedia (4000 lm / R...,"₹14,899",3.7,116,88%,Free delivery
3,PLAY DLP7 Brilliantly Design 3D Active 4k UHD 3840x2160...,"₹1,75,000",0,0,36%,Free delivery
4,Epson EH-TW750 (3400 lm / 1 Speaker / Wireless / Remote...,"₹88,999",0,0,0,Free delivery
5,WANBO Mini (Upgraded) Native 720p 1080P Support LTPS LC...,"₹6,990",0,0,53%,Free delivery
6,PLAY Android 9.0 Full HD 1080p Dual band WiFi/BT 5.1Foc...,"₹24,900",4.5,4,83%,Free delivery
7,PLAY 2022 PP9 Full HD 1080p Projector for Home Office C...,"₹11,990",3.8,147,92%,Free delivery
8,Torexo Sales Spark 1/8GB,"₹8,990",3.3,11,55%,Free delivery
9,WZATCO W6 Polar Android 9 Native 1080P FullHD 4k Wifi/B...,"₹14,990",4.1,94,42%,Free delivery
10,Livato Spark HD Android Projector with 5G WiFi and Blue...,"₹8,999",3.9,125,55%,Free delivery
11,ZEBRONICS Zeb-Pixaplay 20 (3000 lm / Remote Controller)...,"₹8,499",3.3,10,55%,Free delivery
12,UNIY S12 Android 9,"₹6,157",3.9,27,58%,Free delivery
13,ZEBRONICS ZEB-PIXAPLAY 16 with Android 9.0,"₹22,499",4.3,277,63%,Free delivery
14,BenQ MS550 (3600 lm / 1 Speaker) Portable with 20000:1 ...,"₹31,500",4.3,24,25%,Free delivery
15,BenQ TH690ST (2300 lm / 2 Speaker / Remote Controller) ...,"₹1,09,990",0,0,26%,Free delivery
16,ZEBRONICS ZEB-PIXAPLAY 26 (5000 lm) 1080p Full HD,"₹25,999",0,0,60%,Free delivery
17,PLAY MP7 Full HD LED WiFi 3D Projector Phone Mirroring ...,"₹11,499",3.7,44,82%,Free delivery
18,ASUS S1 (200 lm) Portable Projector,"₹31,292",4,14,0,Free delivery
19,Torexo Sales X1 PRO Android 9.0 Full HD 2/16GB 5G WiFi/...,"₹18,590",0,0,38%,Free delivery
20,ZEBRONICS ZEB-PIXAPLAY 28 (9000 lm) 1080p FHD,"₹25,999",3,3,65%,Free delivery
21,PLAY Gold 3D Projector with Native Full Hd,"₹16,999",3,4,83%,Free delivery
22,dkian RD813 Smart Projector HD WiFi miracast 2200 Lumen...,"₹7,594",3.4,17,69%,Free delivery
23,IBS Smart Cinema Pocket Mini WIFI Home Theater Digital ...,"₹8,999",3.9,40,70%,Free delivery
24,PLAY Native Full HD 150'' 4K Projector Compatible Phone...,"₹15,999",5,5,68%,Free delivery
25,microware LED Display,"₹16,199",0,0,59%,Free delivery
26,Livato Y6 Full HD 1080p Modulated at 720p 8000 Lumens H...,"₹8,099",3.9,553,46%,Free delivery
27,UNIY ANDROID 9.0 WIFI YOUTUBE NETFLIX HD LED 3D Project...,"₹8,415",3.8,292,43%,Free delivery
28,UNIY UY40 Resolution (800x480) | Screen Size 35 to 120 ...,"₹4,740",3.7,"1,280",62%,Free delivery
29,Omex M4 Android 9.0 FHD HD New 5G Wifi,"₹10,431",4.1,38,53%,Free delivery
30,PLAY MP1-A Smart WIFI 3D 4k Full HD LED Recently Launch...,"₹13,999",4.1,377,72%,Free delivery
31,Livato T4 Full HD Wifi Inbuilt Youtube (3998 lm / 1 Spe...,"₹5,848",4,85,61%,Free delivery
32,Shopexo T6 Android Full HD (4000 lm / 2 Speaker / Wirel...,"₹8,499",3.8,37,55%,Free delivery
33,Torexo Sales Y9 Android 9.0 Full HD 5G WiFi And Bluetoo...,"₹13,267",4.7,6,55%,Free delivery
34,favone 400LM Portable mini home theater LED projector w...,"₹2,749",0,0,60%,Free delivery
35,PLAY MP1 Full HD LED HDMI/AV/VGA/USB/TV Input 5000 LM R...,"₹14,999",4,4,70%,Free delivery
36,PLAY Full HD Electric Remote Focus Disc touch Projector...,"₹15,990",0,0,92%,Free delivery
37,PLAY MP4 Latest Android 9.0 Advance Technology 4k 3D Fu...,"₹25,080",3.8,39,66%,Free delivery
38,Prime Projector Polar White PS3A Projector|6000 Lumens,"₹22,899",0,0,21%,Free delivery
39,Egate K9 Pro Max Automatic,"₹16,490",4,184,45%,Free delivery
40,PLAY Native Full HD 1920x1080P 4K Latest Launched Proje...,"₹17,999",0,0,89%,Free delivery
41,PLAY 2022 PP9 Full HD 1080p Projector for Home Office C...,"₹11,990",3.8,147,92%,Free delivery
42,Torexo Sales Y9 Android 9.0 Full HD 5G WiFi And Bluetoo...,"₹13,267",4.7,6,55%,Free delivery
43,favone 400LM Portable mini home theater LED projector w...,"₹2,749",0,0,60%,Free delivery
44,WZATCO W6 Polar Native 1080P FullHD 4k Support Android9...,"₹14,990",3.6,29,49%,Free delivery
45,QAWACHH Mini Home Theater Cinema Video Projector with S...,"₹5,998",3.9,7,39%,Free delivery
46,Livato T5 WiFi HD Projector with Built-in YouTube Suppo...,"₹6,477",3.9,"1,221",50%,Free delivery
47,PLAY MP7 Full HD LED WiFi 3D Projector Phone Mirroring ...,"₹11,499",3.7,44,82%,Free delivery
48,QAWACHH Mini Home Theater Cinema Video WiFi Projector (...,"₹6,100",3.7,109,22%,Free delivery
49,IBS WIFI Mini Projector ,"₹8,999",3.7,42,55%,Free delivery
50,Livato Spark HD Android Projector with 5G WiFi and Blue...,"₹8,999",3.9,125,55%,Free delivery
51,PLAY MP4 Latest Android 9.0 Advance Technology 4k 3D Fu...,"₹25,080",3.8,39,66%,Free delivery
52,PLAY MP1 Full HD LED HDMI/AV/VGA/USB/TV Input 5000 LM R...,"₹14,999",4,4,70%,Free delivery
53,WZATCO S4 Android 9.0 Black (5500 lm / 2 Speaker / Remo...,"₹17,990",4.5,6,49%,Free delivery
54,BenQ TK700Sti (3000 lm / 1 Speaker / Wireless / Remote ...,"₹1,67,990",0,0,32%,Free delivery
55,Egate K9 Pro Max Automatic,"₹16,490",4,184,45%,Free delivery
56,PLAY MP1-A Smart WIFI 3D 4k Full HD LED Recently Launch...,"₹13,999",4.1,377,72%,Free delivery
57,PLAY MP1 Full HD LED Recently Launched Projector 4D key...,"₹14,440",3.9,83,71%,Free delivery
58,MECKWELL Mini Home Theater LED Projector with Remote Co...,"₹2,899",0,0,42%,Free delivery
59,IBS Smart Cinema Pocket Mini WIFI Home Theater Digital ...,"₹8,999",0,0,30%,Free delivery
60,PLAY MP9A 4k HD Android 4K 2k Bluetooth 4D keystone 800...,"₹24,920",0,0,66%,Free delivery
61,UNIY ANDROID 9.0 WIFI YOUTUBE NETFLIX HD LED 3D Project...,"₹8,415",3.8,292,43%,Free delivery
62,"IBS 10-100"" MINILED for TV","₹4,999",3.4,54,28%,Free delivery
63,BenQ MH560 (3800 lm / 1 Speaker / Remote Controller) Fu...,"₹59,990",0,0,20%,Free delivery
64,BenQ MW560 (4000 lm / 1 Speaker / Remote Controller) wi...,"₹39,990",4.7,3,27%,Free delivery
65,Egate i9 Pro-Max FHD 1080p (4500 lm / 1 Speaker / Remot...,"₹9,990",4.1,65,37%,Free delivery
66,Livato Y6 Full HD 1080p Modulated at 720p 8000 Lumens H...,"₹8,099",3.9,553,46%,Free delivery
67,Livato T4 Full HD Wifi Inbuilt Youtube (3998 lm / 1 Spe...,"₹5,848",4,85,61%,Free delivery
68,dkian RD813 Smart Projector HD WiFi miracast 2200 Lumen...,"₹6,791",0,0,66%,Free delivery
69,13-HI-13 Portable Mini Projector with HDMI USB TV AV In...,"₹2,528",3.3,82,49%,Free delivery
70,LG PH510PG-GL.ATRLLAN (550 lm / 2 Speaker / Wireless / ...,"₹49,876",4.5,34,9%,Free delivery
71,PLAY MP9A True 4k HD Latest Android 4K 2k Projector Blu...,"₹22,990",3.9,33,69%,Free delivery
72,UNIC UC 20 mini projector support AAV/HDMI/USB/SD with ...,"₹3,599",3.4,292,15%,Free delivery
73,VOLTAC NEW Portable Mini Home Theater LED,"₹3,199",3.1,80,54%,Free delivery
74,VOLTAC NEW Portable Mini Home Theater LED,"₹3,199",3.1,80,54%,Free delivery
75,PLAY STORE ANDROID 9 WIFI 3D 4K BLUETOOTH SMART 1920x10...,"₹15,990",0,0,89%,Free delivery
76,PLAY MP1 Newest WiFi Native Full HD Led Advance Project...,"₹13,965",4,292,81%,Free delivery
77,PLAY MP1A Recently Launched Android 9.0 Digital 3D 4k F...,"₹15,500",3.7,3,69%,Free delivery
78,VOLTAC Portable Mini Home Theater LED,"₹3,332",4,3,52%,Free delivery
79,BORSSO BS30 PRO Android 9,"₹25,999",4.4,73,43%,Free delivery
80,Livato T5 WiFi HD Projector with Built-in YouTube Suppo...,"₹6,477",3.9,"1,221",50%,Free delivery
81,PLAY Native Full HD 1920x1080P 4K Latest Launched Proje...,"₹17,999",0,0,89%,Free delivery
82,VRUM Mini Video Projector T300 LCD TV (3000 lm) Portabl...,"₹2,928",3.5,4,51%,Free delivery
83,Egate O9 Pro Automatic Android (9000 lm / 2 Speaker / W...,"₹22,990",3.9,57,42%,Free delivery
84,IBS WIFI YOUTUBE 1080P HD Portable Home Theater Video G...,"₹8,999",3.3,9,55%,Free delivery
85,BenQ MX550 (3600 lm / 1 Speaker / Remote Controller) wi...,"₹37,500",0,0,16%,Free delivery
86,PLAY Android 9.0 Full HD 1080p Dual band WiFi/BT 5.1Foc...,"₹24,900",4.5,4,83%,Free delivery
87,PLAY 2022 PP9 Full HD 1080p Projector for Home Office C...,"₹11,990",3.8,147,92%,Free delivery
88,IBS UC 500 PROJECTOR,"₹2,898",3.1,961,71%,Free delivery
89,VOLTAC NEW LAUNCH MINI FULL HD WIFI LED 1080P SUPPORT Y...,"₹6,799",4.9,17,54%,Free delivery
90,Livato Spark HD Android Projector with 5G WiFi and Blue...,"₹8,999",3.9,125,55%,Free delivery
91,ZEBRONICS Zeb-Pixaplay 20 (3000 lm / Remote Controller)...,"₹8,499",3.3,10,55%,Free delivery
92,VOLTAC NEW LAUNCH MINI FULL HD WIFI LED 1080P SUPPORT Y...,"₹8,026",4.9,17,59%,Free delivery
93,VOLTAC NEW LAUNCH MINI FULL HD WIFI LED 1080P SUPPORT Y...,"₹6,399",4.9,17,57%,Free delivery
94,VOLTAC NEW LAUNCH MINI FULL HD WIFI LED 1080P SUPPORT Y...,"₹6,799",4.9,17,54%,Free delivery
95,VOLTAC NEW LAUNCH MINI FULL HD WIFI LED 1080P SUPPORT Y...,"₹7,599",4.9,17,49%,Free delivery
96,ZEBRONICS ZEB-PIXAPLAY 26 (5000 lm) 1080p Full HD,"₹25,999",0,0,60%,Free delivery
97,PLAY MP7 Full HD LED WiFi 3D Projector Phone Mirroring ...,"₹11,499",3.7,44,82%,Free delivery
98,VOLTAC NEW LAUNCH MINI FULL HD WIFI LED 1080P SUPPORT Y...,"₹7,999",4.9,17,46%,Free delivery
99,WANBO T6R Max 1080P Full HD 4K Support Android 9 650 AN...,"₹26,990",4.3,15,25%,Free delivery
100,ZEBRONICS ZEB-PIXAPLAY 28 (9000 lm) 1080p FHD,"₹25,999",3,3,65%,Free delivery
101,PLAY Gold 3D Projector with Native Full Hd,"₹16,999",3,4,83%,Free delivery
102,VOLTAC NEW Portable Mini Home Theater LED,"₹3,336",3.1,80,52%,Free delivery
103,VOLTAC NEW Portable Mini Home Theater LED,"₹3,199",3.1,80,54%,Free delivery
104,Projevox PX-17 Smart HD Ready Android Projector with 5G...,"₹9,387",3.6,5,76%,Free delivery
105,Torexo Sales X1 FullHD Projector 8k Support Android 9.0...,"₹17,565",0,0,41%,Free delivery
106,Livato Y6 Full HD 1080p Modulated at 720p 8000 Lumens H...,"₹8,099",3.9,553,46%,Free delivery
107,UNIY ANDROID 9.0 WIFI YOUTUBE NETFLIX HD LED 3D Project...,"₹8,415",3.8,292,43%,Free delivery
108,IBS T-5 uc46 Smart Projector HD 3D 4K WiFi miracast 320...,"₹6,999",3.4,18,46%,Free delivery
109,VOLTAC NEW Portable Mini Home Theater LED,₹659,3.1,80,67%,Free delivery
110,Livato T4 Full HD Wifi Inbuilt Youtube (3998 lm / 1 Spe...,"₹5,848",4,85,61%,Free delivery
111,PLAY MP1-A Smart WIFI 3D 4k Full HD LED Recently Launch...,"₹13,999",4.1,377,72%,Free delivery
112,Torexo Sales TS82 BASIC 720p HD (1080p Support) with 20...,"₹7,520",4,12,49%,Free delivery
113,VOLTAC NEW LAUNCH MINI FULL HD WIFI LED 1080P SUPPORT Y...,"₹8,485",4.9,17,57%,Free delivery
114,dkian RD813 Smart Projector HD WiFi miracast 2200 Lumen...,"₹6,791",0,0,66%,Free delivery
